address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
GULF AVENUE,,NY,10314,40.6280316328,-74.1842360617,,New York City Department of Small Business Services,public,5018550008,0.820707070708525000
18-01 45 STREET,,NY,11105,40.7769606229145,-73.8950515885994,,New York City Department of Small Business Services,public,4007770001,3.994880624433157900
BLOOMFIELD AV,,NY,10314,40.6135670316,-74.1871576202,,New York City Department of Citywide Administrative Services,public,5017800112,3.779981634533787200
JOHN STREET,,NY,10302,40.63621102,-74.1436808861,,New York City Department of Small Business Services,public,5011230115,0.034687786960575700
1751 2 AVENUE,,NY,10128,40.7809584385,-73.9501307291,park,New York City Department of Parks and Recreation,public,1015360025,0.998760330580282200
9 CHESTNUT STREET,,NY,11208,40.6877704261,-73.8762167745,community green space,New York City Department of Parks and Recreation,public,3041040023,0.086088154270125000
0  133 STREET,,NY,11356,40.7808989862,-73.8348007593,,New York City Department of Small Business Services,public,4041790001,3.171487603311405000
0   20 AVENUE,,NY,11356,40.7809184581,-73.8330752206,,New York City Department of Small Business Services,public,4041810026,1.664370982555750000
0   20 AVENUE,,NY,11356,40.7808951936,-73.8326811324,,New York City Department of Small Business Services,public,4041810033,1.391758494033687500
0   20 AVENUE,,NY,11356,40.7808959249,-73.8319600478,,New York City Department of Small Business Services,public,4041820001,3.163452708912860000
0  134 STREET,,NY,,40.7794079815,-73.8338269572,,New York City Department of Small Business Services,public,4042110001,3.342516069794720000
0  136 STREET,,NY,,40.7793912252,-73.8319443374,,New York City Department of Small Business Services,public,4042130001,3.342516069794720000
0  135 STREET,,NY,,40.7776515214,-73.8328724336,,New York City Department of Small Business Services,public,4042410001,4.191919191926620000
0  136 STREET,,NY,,40.7776527163,-73.831926853,,New York City Department of Small Business Services,public,4042420001,4.178145087243400000
0  134 STREET,,NY,11354,40.7753109455,-73.8345367406,,New York City Department of Small Business Services,public,4042780001,1.205234159781750000
0  134 STREET,,NY,11354,40.7759154386,-73.8345720906,,New York City Department of Small Business Services,public,4042780017,0.301836547291627600
0  134 STREET,,NY,11354,40.7765076825,-73.8341723752,,New York City Department of Small Business Services,public,4042780036,0.079201101928515000
0  135 STREET,,NY,,40.7756091428,-73.8324406247,,New York City Department of Small Business Services,public,4042800001,5.575229568421265900
0 LINDEN PLACE,,NY,,40.7738048887,-73.833878814,,New York City Department of Small Business Services,public,4043050001,2.525252525257000000
        ROCKAWAY AVENUE,,NY,0,40.6519035535,-73.9057541225,,New York City Economic Development Corporation,public,3036440210,0.447842056933759600
COLLEGE POINT BOULEVARD,,NY,11354,40.7697561944036,-73.8413919061974,,New York City Economic Development Corporation,public,4043570002,1.654155188249028500
MARGINAL STREET,,NY,,40.7465085142634,-73.9690423914632,,New York City Department of Small Business Services,public,1009700014,1.569100091830145000
61 FRANKLIN STREET,,NY,11222,40.7275458705,-73.9574587453,community green space,New York City Department of Parks and Recreation,public,3025710021,0.040174471992725000
RICHMOND TERRACE,,NY,10303,40.637600385435,-74.1537111997505,community green space,New York City Department of Parks and Recreation,public,5011090059,10.979361799835800700
RICHMOND AVENUE,,NY,10302,40.6412133439455,-74.1313033861318,,New York City Department of Small Business Services,public,5010680001,0.891000918275224400
BARD AVENUE,,NY,10310,40.645591254324,-74.1088249671165,,New York City Department of Small Business Services,public,5001840188,0.052020202020294200
542 CROSS BAY BOULEVARD,,NY,11693,40.6098847129,-73.818577292,,New York City Department of Citywide Administrative Services,public,4154000039,0.059710743801758700
NORTH CONDUIT B,,NY,11414,40.6728228905,-73.8550710532,,New York City Department of Citywide Administrative Services,public,4113610001,0.0
425 MOTHER GASTON BLVD,,NY,11212,40.6686375387241,-73.9062546985413,,New York City Department of Housing Preservation and Development,public,3037430012,0.057392102846750000
913 KENT AVENUE,,NY,11205,40.694187593462935,-73.95864129066467,community garden,New York City Department of Environmental Protection,public,,1.460491276402955300
JOHN STREET,,NY,10302,40.636167181721,-74.1436627640398,,New York City Department of Small Business Services,public,5011230116,0.407621671258757200
GROVE AVENUE,,NY,10302,40.6387343468149,-74.1361212921194,,New York City Economic Development Corporation,public,5010760019,0.442401285583887700
JOHN STREET,,NY,10302,40.6367387148102,-74.1424757863435,,New York City Department of Small Business Services,public,5011210077,0.0
NICHOLAS AVENUE,,NY,10302,40.6375954967568,-74.1405272215711,,New York City Department of Small Business Services,public,5011160112,0.0
IRVING PLACE,,NY,0,40.6369483898599,-74.1415653157416,,New York City Department of Small Business Services,public,5011180038,0.0
NICHOLAS AVENUE,,NY,10302,40.6383119374109,-74.138737304029,,New York City Economic Development Corporation,public,5010860022,0.887052341599368000
NICHOLAS AVENUE,,NY,10302,40.6376763055571,-74.1405782645799,,New York City Department of Small Business Services,public,5011160110,0.0
TREADWELL AVENUE,,NY,10302,40.6386554548424,-74.1373867047336,,New York City Economic Development Corporation,public,5010840042,0.0
FABER STREET,,NY,10302,40.638858284061,-74.1348075816463,,New York City Economic Development Corporation,public,5010740013,0.225252525252924400
254 HERZL STREET,,NY,11212,40.6638020908,-73.9143896275,,New York City Department of Housing Preservation and Development,public,3035550046,0.045913682277400000
        19 STREET,,NY,0,40.6679770074,-73.9997229991,,New York City Department of Citywide Administrative Services,public,3006250250,1.814508723602848000
        VAN SICLEN AVENUE,,NY,11207,40.6707334187757,-73.8895179300161,,New York City Department of Housing Preservation and Development,public,3040260002,0.114784205693500000
1650 MADISON AVENUE,,NY,10029,40.7961715478,-73.9479992867,,New York City Department of Housing Preservation and Development,public,1016150059,0.100826446281170400
        GREENPOINT AVENUE,,NY,11101,40.7361931269795,-73.9418691473583,,New York City Transit (MTA),public,4002940001,0.0
23-23 LINDEN PLACE,,NY,11354,40.7782527862578,-73.8356665691856,,New York City Department of Small Business Services,public,4042380033,1.476124885218410000
825 ESSEX STREET,,NY,11208,40.663770864,-73.8769353515,parking lot,New York City Department of Health,public,3043630056,0.137741046832200000
        49 AVENUE,,NY,11101,40.74321716158674,-73.94299864768982,community green space,New York City Transit (MTA),public,4001000002,2.294949494953561600
MAPLE AVENUE,,NY,10302,40.63892486592,-74.1334603231631,,New York City Economic Development Corporation,public,5010730020,0.0
RICHMOND AVENUE,,NY,10302,40.6390304698755,-74.1318876064464,,New York City Economic Development Corporation,public,5010040002,0.380165289256872000
        2 AVENUE,,NY,11220,40.6408956672,-74.0257380691,,New York City Department of Small Business Services,public,3058060097,0.102846648301376000
530 EAST 6 STREET,,NY,10009,40.7246512047,-73.9825888245,community garden,New York City Department of Parks and Recreation,public,1004010025,0.055785123967041000
430-42 WEST   48 STREET,,NY,10036,40.762779548,-73.9917334404,community garden,New York City Department of Parks and Recreation,public,1010570050,0.345798898072238100
1651 EAST 110 STREET,,NY,10029,40.7961657533,-73.947327522,community garden,New York City Department of Parks and Recreation,public,1016160023,0.043755739210362200
867 ST NICHOLAS AVENUE,,NY,10032,40.8296955382,-73.9421517664,community garden,New York City Department of Parks and Recreation,public,1020680119,0.092745638200348000
PEARL STREET,,NY,10038,40.7090211036,-74.0013309609,community garden,New York City Department of Parks and Recreation,public,1001060022,0.092607897153515800
171 STANTON STREET,,NY,10002,40.720010086,-73.98445874,community garden,New York City Department of Parks and Recreation,public,1003440148,0.058149678604327100
PARK AVENUE,,NY,10302,40.639092185685,-74.1302593136602,,New York City Economic Development Corporation,public,5010060028,0.0
RICHMOND TERRACE,,NY,0,40.6401011024519,-74.1242040380008,,New York City Department of Environmental Protection,public,5001850390,0.0
        EAST 18 STREET,,NY,11226,40.649708986746205,-73.96323323249817,community green space,New York City Transit (MTA),public,3050780032,0.293663911846250400
247 EAST 2 STREET,,NY,10009,40.7211323016,-73.9817924651,community garden,New York City Department of Parks and Recreation,public,1003840028,0.035009182736517500
237 EAST 3 STREET,,NY,10009,40.7222823041,-73.9814710694,community garden,New York City Department of Parks and Recreation,public,1003860052,0.055188246097434800
221 EAST 3 STREET,,NY,10009,40.7225156967,-73.9820265858,community garden,New York City Department of Parks and Recreation,public,1003860060,0.060881542699832400
267-71 EAST 4 STREET,,NY,10009,40.7224934657,-73.9803562409,community garden,New York City Department of Parks and Recreation,public,1003870040,0.049586776859592000
625-27 EAST 5 STREET,,NY,10009,40.7236051777,-73.9808609953,community garden,New York City Department of Parks and Recreation,public,1003870155,0.095523415978130700
215 EAST 7 STREET,,NY,10009,40.7246507199,-73.9796340478,community garden,New York City Department of Parks and Recreation,public,1003900046,0.149219467401550000
626 EAST 11 STREET,,NY,10009,40.7268051414,-73.9784644289,community garden,New York City Department of Parks and Recreation,public,1003930020,0.054407713498719000
640-44 EAST 12 STREET,,NY,10009,40.7272496218,-73.9775731273,community garden,New York City Department of Parks and Recreation,public,1003940029,0.118526170799108100
209 AVENUE B,,NY,10009,40.7285398111,-73.9783772764,community garden,New York City Department of Parks and Recreation,public,1003950008,0.062993572084592800
193 EAST 2 STREET,,NY,10009,40.7220768519,-73.9841840769,community garden,New York City Department of Parks and Recreation,public,1003970028,0.047015610652057600
194 AVENUE B,,NY,10009,40.7281008121,-73.9792577642,community garden,New York City Department of Parks and Recreation,public,1004050030,0.028948576675900700
200 AVENUE B,,NY,10009,40.7283642721,-73.9790556349,community garden,New York City Department of Parks and Recreation,public,1004060037,0.025252525252570000
198 AVENUE B,,NY,10009,40.7283203619,-73.9790881206,community garden,New York City Department of Parks and Recreation,public,1004060038,0.025252525252570000
48 EAST 1 STREET,,NY,10003,40.7240152679,-73.9896024598,community garden,New York City Department of Parks and Recreation,public,1004430053,0.055142332415157400
0 WEST 87 STREET,,NY,10024,40.7870918076,-73.9709264737,community garden,New York City Department of Parks and Recreation,public,1012010006,0.094123048668670000
1659 MADISON AVENUE,,NY,10029,40.7963989576,-73.9471142487,community garden,New York City Department of Parks and Recreation,public,1016160053,0.054522497704412500
71 EAST 115 STREET,,NY,10029,40.7991204002,-73.9442948649,community garden,New York City Department of Parks and Recreation,public,1016210030,0.057920110192940100
50 EAST 117 STREET,,NY,10035,40.8004570173,-73.9441601062,community garden,New York City Department of Parks and Recreation,public,1016220050,0.054132231405054600
172 EAST 117 STREET,,NY,10035,40.7988138665,-73.9405532902,community garden,New York City Department of Parks and Recreation,public,1016440046,0.039393939394009200
170 EAST 117 STREET,,NY,10035,40.7988358541,-73.9406110594,community garden,New York City Department of Parks and Recreation,public,1016440146,0.039393939394009200
335 EAST 108 STREET,,NY,10029,40.7913504107,-73.9395234822,community garden,New York City Department of Parks and Recreation,public,1016800021,0.115840220385880200
E 109 ST,,NY,10029,40.7919793287,-73.9402415866,community garden,New York City Department of Parks and Recreation,public,1016800044,0.079889807162676000
77 WEST 124 STREET,,NY,10027,40.8070503815,-73.9452707609,community garden,New York City Department of Parks and Recreation,public,1017220005,0.046326905417896600
2015 LEXINGTON AVENUE,,NY,10035,40.802581272,-73.9384477354,community garden,New York City Department of Parks and Recreation,public,1017710121,0.019857667584975500
