address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
HUNTS POINT,,NY,10474,40.8079911679,-73.8794284984,,New York City Economic Development Corporation,public,2027750279,0.806932966025305000
        EAST 98 STREET,,NY,11236,40.6468020716,-73.9020761244,,New York City Department of Transportation,public,3081670020,0.541781450873320000
        JAY STREET,,NY,11201,40.6991869886,-73.9858663058,,New York City Department of Transportation,public,3000880001,4.154614325076232500
        EASTERN PARKWAY,,NY,11233,40.6722034406,-73.9138308911,,New York City Department of Transportation,public,3014650001,0.045064279155268100
5  AVENUE,,NY,11373,40.7412200584,-73.8796759513,,New York City Department of Transportation,public,4015790101,0.041781450872434000
0   20 AVENUE,,NY,11356,40.780854503,-73.8356969163,,New York City Department of Transportation,public,4041780001,3.174931129482210000
501 EAST 156 STREET,,NY,10451,40.8199188967,-73.9118620484,,New York City Department of Housing Preservation and Development,public,2023600003,0.040863177226886000
1762 EAST NEW YORK AVENUE,,NY,11207,40.6752817281,-73.9033062514,,New York City Economic Development Corporation,public,3036800029,0.037878787878855000
2500 ELLIS AVENUE,,NY,10462,40.8337896036,-73.8415281473,,New York City Economic Development Corporation,public,2038490001,0.0
451 BEDFORD AVENUE,,NY,11211,40.7077941095,-73.9641512814,community green space,New York City Department of Parks and Recreation,public,3021470001,0.119375573921240000
1190 2 AVENUE,,NY,10065,40.7627571966216,-73.9622698521568,,New York City Transit (MTA),public,1014370049,0.345798898072238100
110-01 UNION HALL STREET,,NY,11433,40.6930023574,-73.7895421354,,New York City Department of Transportation,public,4121650030,0.022222222222261600
276 E 3 ST,,NY,10009,40.7213543959,-73.9803854375,,New York City Department of Housing Preservation and Development,public,1003720011,0.046395775941312700
503 EAST  153 STREET,,NY,10455,40.8182923207,-73.9132370911,,New York City Department of Housing Preservation and Development,public,2023630001,0.163980716253734100
0   20 AVENUE,,NY,11356,40.7809001061,-73.8338399256,,New York City Department of Small Business Services,public,4041800001,3.151974288343510000
0   20 AVENUE,,NY,11356,40.780244866,-73.8330869289,,New York City Department of Small Business Services,public,4041810001,0.015610651974316000
20 AVENUE,,NY,11357,40.7796840525,-73.8286814833,,New York City Economic Development Corporation,public,4041830001,15.828741965133650000
0  132 STREET,,NY,,40.7793478272,-73.8363119483,,New York City Department of Small Business Services,public,4042080001,1.563360881545470000
0  132 STREET,,NY,,40.7794195281,-73.8356828647,,New York City Department of Small Business Services,public,4042090001,3.314967860428280000
0  133 STREET,,NY,,40.7793942369,-73.8347465239,,New York City Department of Small Business Services,public,4042100001,3.342516069794720000
0  135 STREET,,NY,11356,40.779395805,-73.8328881553,,New York City Department of Small Business Services,public,4042120001,3.342516069794720000
0  133 STREET,,NY,,40.7776492183,-73.8347261109,,New York City Department of Small Business Services,public,4042390001,4.178145087243400000
0  134 STREET,,NY,,40.7776503925,-73.8338206126,,New York City Department of Small Business Services,public,4042400001,4.233241505976280000
0  138 STREET,,NY,,40.7776375151,-73.8309939864,,New York City Economic Development Corporation,public,4042430001,3.319214876038939500
0  134 STREET,,NY,11354,40.7763821567,-73.8340892655,,New York City Department of Small Business Services,public,4042780034,0.218089990817650000
28TH AVE,,NY,11357,40.7729572721,-73.8334758527,,New York City Department of Small Business Services,public,4042820050,0.261707988981180000
28TH AVE,,NY,11357,40.7739540219,-73.8322437406,,New York City Department of Small Business Services,public,4042820075,2.116620752988140000
26 ULMER STREET,,NY,11354,40.7733359045,-73.836859306,,New York City Economic Development Corporation,public,4043020001,0.836202938477147500
0  135 STREET,,NY,,40.773559618,-73.8329049259,,New York City Department of Small Business Services,public,4043060001,1.104224058771470000
79 STREET,,NY,,40.7556657795,-73.8885186355,,New York City Department of Citywide Administrative Services,public,4011740134,0.034435261708050000
91 STREET,,NY,11369,40.7630836933,-73.8784896724,,New York City Department of Citywide Administrative Services,public,4013640023,0.018870523416011400
0  135 STREET,,NY,,40.7738049443,-73.8333594126,,New York City Department of Small Business Services,public,4043060019,0.459136822774000000
0  135 STREET,,NY,,40.7742798527,-73.8327442118,,New York City Department of Small Business Services,public,4043060020,0.632460973371185000
9 AVENUE,,NY,,40.7729832353,-73.8357825265,,New York City Economic Development Corporation,public,4043320006,0.570454545455556300
WHITESTONE BRIDGE,,NY,,40.7729661111,-73.8347444201,,New York City Economic Development Corporation,public,4043340050,0.642791551883600000
0 TALLMAN BOULEVARD,,NY,,40.7659564857,-73.8449777074,,New York City Economic Development Corporation,public,4043940001,2.531221303953062000
727 HICKS STREET,,NY,11231,40.6780216405763,-74.0035151387323,,New York City Department of Environmental Protection,public,3005210001,0.528007346190100000
